=== Table Summary ===
**Column Analysis:**

1. Num:
   - Data type: Numeric
   - 4 representative example values: 27, 29, 36, 48
   - Role of the column: Identifier for each experiment in the table

2. Pod Color:
   - Data type: Categorical
   - 4 representative example values: nan, Yellow and Purple
   - Role of the column: Descriptor of the color of the experiment's pod

3. Nickname:
   - Data type: Categorical
   - 4 representative example values: Plushy, Checkers, Poki, Echo
   - Role of the column: Descriptor of the experiment's nickname

4. Short Description:
   - Data type: Text
   - 4 representative example values: Description for each experiment
   - Role of the column: Descriptor of the experiment's characteristics and abilities

5. Episode:
   - Data type: Categorical
   - 4 representative example values: Leroy & Stitch, 207, 203, 215
   - Role of the column: Descriptor of the episode where the experiment appeared

**Outlier Row Analysis:**

1. Row 35:
   - The values in this row are not significantly different from the majority of the table. They are ordinary values and do not make this row an outlier.

2. Row 28:
   - The values in this row are not significantly different from the majority of the table. They are ordinary values and do not make this row an outlier.

3. Row 23:
   - The values in this row are not significantly different from the majority of the table. They are ordinary values and do not make this row an outlier.

=== Full Table Preview ===
|   row_number |   Num | Pod Color         | Nickname                                | Short Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Episode                                |
|            9 |    10 | Green             | Felix                                   | A green anteater-like experiment with a small body mouth arms and legs a thin tail with a brushy fuzz at the end a vacuum-like trunk that can fire lasers dark eyes short ears and three dark-tipped spines. Designed to sterilize disinfect and clean everything in sight. However he had a problem with doing these tasks: he threw anything away assuming it was trash and tried to "sterilize" anyone assuming they were germs. 010 was upgraded to try to be less of a neat-freak. Instead he turned into a dirt-maker so Lilo gave him to Gantu. Gantu sent 010 to Hämsterviel who didn't like him and sent him back. Gantu set him free and Lilo and Stitch found him. Later after he was upgraded they sent him back to Gantu who sent him back to Hämsterviel who sent him back to Gantu when Woops almost broke his cover. Felix was rescued later in "Snafu." The only thing that 010 can say with both of his upgrades is dirty but with Felix he says it disgustedly while with Oscar he says it happily. Both of 010's names are a reference to the main characters of The Odd Couple. He is voiced by Tress MacNeille in the TV series while he is voiced by Steven Blum in the anime's dubbed version. | 131 224 226 Leroy & Stitch Stitch!     |
|           10 |    11 | Green             | Inkstain                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           11 |    12 |                   | Antitherm                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           12 |    13 |                   | Furry                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           13 |    14 | White             | Kernel                                  | A tan gourd-shaped experiment with a large opening at the top of his head. Designed to pop popcorn. His one true place is in a movie theater. Was mentioned in "Angel" when Jumba said "624 is harmless early experiment. Designed to...pop popcorn for Jumba's movie night."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Leroy & Stitch                         |
|           14 |    15 |                   | Ruggles                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           15 |    16 |                   | Matt                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           16 |    17 |                   | Lidds                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           17 |    18 |                   | Puck                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           18 |    19 | White             | Clumsy                                  | Seen in pod form in Stitch! The Movie. Pod says 19 instead of 019. Function unknown.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Leroy & Stitch                         |
|           19 |    20 | Red               | Slick                                   | A fast-talking pink experiment with a resemblance to Jumba and Cannonball (520) but with a smaller face and two ebony-black eyes who wears a straw boater hat and bowtie carries a cane and acts as a salesperson who never turns down a customer. Designed to be able to sell anything to anyone. Lilo used him to get ahead in the chocolate bar selling contest/fundraiser but Mertle took him. When Lilo took him back Mertle took him back again. Lilo tried to take him back once more but found out Mertle sold him to Reuben. Slick was rescued but Lilo had to give up the contest by giving her last chocolate bar to Gantu as a swap for Slick. His one true place is at a fundraiser following which he began working for charity not profit. Slick was one of the experiments Lilo turned to for the capture of Ploot but besides selling her an umbrella that she later used against Ploot he didn't/couldn't help. He is voiced by Jeff Glen Bennett.                                                                                                                                                                                                                                                   | 205 217 Leroy & Stitch                 |
|           20 |    21 |                   | Twang                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           21 |    22 |                   | Hertz Donut                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           22 |    23 |                   | Cyclo                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           23 |    24 | Purple            | Hamlette                                | An experiment designed to turn objects into ham. She was activated when Mrs. Hasagawa's cats were activated as indicated by Gantu's experiment computer but did not physically appear in the episode. She was referred to in Remmy when Pleakley said "Is that the one that turns everything into ham?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 215 220                                |
|           24 |    25 | White             | Topper                                  | A small yellow star-shaped creature with a little antenna on his head. Designed to be a beacon to signal the alien attack fleet but the official Disney website states his purpose is to keep people awake with his bright light. Topper is given to a little girl as a Christmas present then placed atop the local Christmas tree and emits a light so bright that aliens from other galaxies can see him from Earth. His number is likely a reference to Christmas Day (December 25). He is voiced by Tress MacNeille.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 114 132 Leroy & Stitch                 |
|           25 |    26 |                   | Pawn                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           26 |    27 |                   | Plushy                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           27 |    28 | White             | Lori                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | leroy and stitch                       |
|           28 |    29 | Yellow and Purple | Checkers                                | A yellow centipede-like experiment that sits curled up like a crown on people's heads. Designed to make his wearer a king or queen by hypnotizing those around them with the exception of higher experiments. The victims retain their normal personality while under its control and the effect immediately wears off once Checkers is removed. Lilo first donned him but her good intentions got many people arrested by Mertle for being "troublemakers" when they accidentally disobeyed Lilo's rules. When Lilo decided to step down Gantu took Checkers and was in power until Stitch gathered several experiments to help overthrow him. His one true place is as a decorative crown for festivals. In the Stitch! Anime it is shown that he will jump off his wearer if he eats really spicy foods. He is voiced by Billy West.                                                                                                                                                                                                                                                                                                                                                                                | 207 Leroy & Stitch                     |
|           29 |    30 |                   | Vialet                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           30 |    31 |                   | Gotchu                                  | An orange lobster-like experiment. Designed to run around and pinches things with his four pincers. His one true place is with Mrs. Hasagawa as one of her "cats."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 220 Leroy & Stitch                     |
|           31 |    32 |                   | Fibber                                  | A small orange experiment with small body arms and legs a large head with dark orange mark on the forehead little antennae a little mouth a round nose black eyes and four ears. Designed to detect lies. When a lie is told he beeps loudly and the pattern on his forehead lights up. The bigger the lie the louder he beeps and the brighter the pattern lights up. Fibber was captured by Gantu but rescued by Lilo and Stitch in "Snafu." He was also part of Pleakley's E.A.R.W.A.X. group in "Spike." Which was a blooper in the episode since he was captured by Gantu at the time. He is voiced by Jeff Glen Bennett.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 113 201 224 226 Leroy & Stitch         |
|           32 |    33 | White             | Hammerface (also known as "Hammerhead") | A blue dinosaur-like experiment with short forearms and a thick tail and legs. Designed to drive in nails around Jumba's house with his hammer-shaped head/face but at times he will pound living things. He was bought and trained by Gantu turned into an army of 100 weaklings by Dupe and rescued by Lilo's rescue team in "Snafu." 033 was called "Hammerhead" by Pleakley in "The Asteroid". In "Stitch! The Movie" his number is 124.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 109 126 213 215 224 226 Leroy & Stitch |
|           33 |    34 |                   | Splort                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           34 |    35 |                   | Philip                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           35 |    36 |                   | Poki                                    | A small yellow and brown opossum-like experiment with a spiked tail. Designed to poke holes in liquid containers. Was seen in "Shoe."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 203 215 Leroy & Stitch                 |
|           36 |    37 |                   | Snipper                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           37 |    38 |                   | Plats                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           38 |    39 |                   | Atlas                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           39 |    40 |                   | Backhoe                                 | A gray mole-like experiment with large black claws. Designed to scrape up vegetation and is also an efficient digger. He was part of the "rebellion" in "Checkers" and he dug the pool for "Jumba and Pleakley's Bed and No Breakfast." First seen in "Shoe."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 203 207 215 Leroy & Stitch             |
|           40 |    41 |                   | Kitsch                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           41 |    42 |                   | Itch                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           42 |    43 |                   | Cubesteak                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           43 |    44 | Green             | Forehead                                | A pink four-headed mustached experiment with four arms and four red bowties on his necks that speaks English. Designed to sing barbershop music off-key agonizing anyone who hears it. His one true place is with Mrs. Hasagawa as one of her "cats."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 220 Leroy & Stitch                     |
|           44 |    45 |                   | Melvin                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           45 |    46 |                   | Wedgie                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           46 |    47 |                   | Lorider                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           47 |    48 |                   | Echo                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           48 |    49 | White             | Picker                                  | This experiment was seen in pod form in Stitch! The Movie. His pod says 49 instead of 049 possibly due to the angle. Function unknown.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Stitch! The Movie                      |
|           49 |    50 |                   | Dunk                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           50 |    51 | Green             | Hocker                                  | A green experiment with a huge blue nose and a yellow spot around his eyes and a yellow stripe on his ears and tail (In his episode the spots and stripes were originally red.). Designed to spit acidic saliva that can burn through wood in about three seconds. His one true place is with Mrs. Hasagawa as one of her "cats."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 220 Leroy & Stitch                     |
|           51 |    52 |                   | Coco                                    | A chocolate-colored pink-haired lizard/Stitch-like experiment. Designed to turn things into chocolate (from a Disney Adventures magazine). She was given to Lilo by Stitch for her birthday.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Disney Adventures Magazine             |
|           52 |    53 |                   | Whine                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           53 |    54 | Blue              | Fudgy                                   | An experiment made of chocolate that looks like a blob. Designed to drown people in his sticky sweetness. When he was activated he was called 119 and he was mistaken for experiment 611. The mistake with his number was due to Jumba's untidy database although Jumba later corrected this mistake. Was rescued in "Snafu."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 119 226                                |
|           54 |    55 |                   | Snarfhonk                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           55 |    56 |                   | Nibbiolo                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy and Stitch"                      |
|           56 |    57 |                   | Tenderizer                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           57 |    58 |                   | Shortsheet                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           58 |    59 |                   | Tornette                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           59 |    60 |                   | Plink                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           60 |    61 |                   | Anachronator                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           61 |    62 | White             | Frenchfry                               | A small gray and white mustached experiment with four arms with three fingers on each hand black eyes a round nose a little mouth short ears a chef's hat and a spatula for a tail. Designed to use his lightning speed which allows him to instantly prepare food or whip up a mini-tornado in battle. He is also the only experiment in the series that speaks French. Designed to be Jumba's personal chef but instead made unhealthy food that quickly made people fat then ate the fattened victims. However he stopped when he learned that healthy food could be just as delicious. His one true place is running a healthy French fry hut.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 202 Leroy & Stitch                     |
|           62 |    63 |                   | Pufferizer                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           63 |    64 |                   | Nappifier                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           64 |    65 |                   | Britfood                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           65 |    66 |                   | Glam                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           66 |    67 |                   | Shady                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           67 |    68 |                   | Tom                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           68 |    69 |                   | H. T.                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           69 |    70 | White             | Flapjack                                | Seen in pod form in Stitch! The Movie. Function unknown. Pod says 70 instead of 070.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Stitch! The Movie                      |
|           70 |    71 | Yellow            | Penny                                   | Seen in pod form in Stitch! The Movie. Pod says 71 instead of 071. Function unknown.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Leroy & Stitch                         |
|           71 |    72 |                   | Stickystuck                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           72 |    73 |                   | Cornerpiece                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           73 |    74 | White             | Welco                                   | This experiment was seen in pod form in Stitch! The Movie. Pod says 74 instead of 074.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Stitch! The Movie                      |
|           74 |    75 |                   | WooWoo                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           75 |    76 |                   | Bath Matt                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           76 |    77 |                   | Zawp                                    | A fat purple Nosy (199)-like experiment with black nails a dark blue stripe around his torso between his chest and stomach a dark blue circle on the top of his head dark blue-striped ears a larger belly and a slightly smaller gold nose. Designed to irritate people with his constant snoring. His one true place is with Mrs. Hasagawa as one of her "cats."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 220 Leroy & Stitch                     |
|           77 |    78 | White             | Snozzle                                 | Seen in pod form in Stitch! The Movie. Pod says 78 instead of 078. Function unknown.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Leroy & Stitch                         |
|           78 |    79 |                   | Fogger                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           79 |    80 |                   | Dan                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           80 |    81 |                   | Backscratcher                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           81 |    82 | White             | Plunge                                  | Seen in pod form in Stitch! The Movie. Function unknown. Pod says 82 instead of 082.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Stitch! The Movie                      |
|           82 |    83 |                   | Grimple                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           83 |    84 |                   | Subwoof                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           84 |    85 |                   | Screwup                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
|           85 |    86 |                   | Clink                                   | A big green mouthless crab-like experiment with four legs two large claws and a window on its chest. Able to capture and confine any other experiment inside the holding tank in his stomach by splitting in half surrounding whatever he wants to catch and joining together again. When Clink splits in two he works with himself yet he seems to have a separate mind for each half. 20 years in the future Lilo Stitch and Skip encountered Clink in the possession of Hämsterviel when Hämsterviel ruled Earth.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 206                                    |
|           86 |    87 |                   | Puddles                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Leroy & Stitch                         |
