=== Table Summary ===
**Column Analysis:**

1. Name
   - Data type: Categorical
   - 4 representative example values: euro, lArr, sim, perp
   - Role: Identifier

2. Character
   - Data type: Categorical
   - 4 representative example values: €, ⇐, ∼, ⊥
   - Role: Descriptor

3. Unicode code point (decimal)
   - Data type: Numeric
   - 4 representative example values: 8364, 8656, 8764, 8869
   - Role: Descriptor

4. Standard
   - Data type: Categorical
   - 4 representative example values: HTML 4.0, HTML 5.0
   - Role: Descriptor

5. DTD
   - Data type: Categorical
   - 4 representative example values: HTMLspecial, HTMLsymbol
   - Role: Descriptor

6. Old ISO subset
   - Data type: Categorical
   - 4 representative example values: NEW, ISOtech
   - Role: Descriptor

7. Description
   - Data type: Descriptor
   - 4 representative example values: euro sign, leftwards double arrow, tilde operator, up tack

**Outlier Row Analysis:**

1. Row 2 (Index 2)
   - The values for Standard (HTML 4.0) and DTD (HTMLsymbol) are different from the majority of the table.
   - These values make the row distinctive as it deviates from the common pattern seen in other rows.

2. Row 242 (Index 242)
   - The values for Standard (HTML 5.0) and DTD (?) are different from the majority of the table.
   - The ambiguous value for DTD makes this row stand out, indicating it as an outlier.

3. Row 187 (Index 187)
   - The values for Standard (HTML 4.0) and Old ISO subset (?) are different from the majority of the table.
   - The presence of an ambiguous value for Old ISO subset makes this row unique compared to the rest.

=== Full Table Preview ===
|   row_number | Name     | Character   |   Unicode code point (decimal) | Standard   | DTD         | Old ISO subset   | Description                                                             |
|           34 | frac12   | ½           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | vulgar fraction one half (fraction one half)                            |
|           35 | frac34   | ¾           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | vulgar fraction three quarters (fraction three quarters)                |
|           36 | iquest   | ¿           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | inverted question mark (turned question mark)                           |
|           37 | Agrave   | À           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with grave accent (Latin capital letter A grave) |
|           38 | Aacute   | Á           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with acute accent                                |
|           39 | Acirc    | Â           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with circumflex                                  |
|           40 | Atilde   | Ã           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with tilde                                       |
|           41 | Auml     | Ä           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with diaeresis                                   |
|           42 | Aring    | Å           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with ring above (Latin capital letter A ring)    |
|           43 | AElig    | Æ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter AE (Latin capital ligature AE)                     |
|           44 | Ccedil   | Ç           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter C with cedilla                                     |
|           45 | Egrave   | È           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with grave accent                                |
|           46 | Eacute   | É           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with acute accent                                |
|           47 | Ecirc    | Ê           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with circumflex                                  |
|           48 | Euml     | Ë           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with diaeresis                                   |
|           49 | Igrave   | Ì           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with grave accent                                |
|           50 | Iacute   | Í           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with acute accent                                |
|           51 | Icirc    | Î           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with circumflex                                  |
|           52 | Iuml     | Ï           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with diaeresis                                   |
|           53 | ETH      | Ð           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter Eth                                                |
|           54 | Ntilde   | Ñ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter N with tilde                                       |
|           55 | Ograve   | Ò           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with grave accent                                |
|           56 | Oacute   | Ó           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with acute accent                                |
|           57 | Ocirc    | Ô           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with circumflex                                  |
|           58 | Otilde   | Õ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with tilde                                       |
|           59 | Ouml     | Ö           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with diaeresis                                   |
|           60 | times    | ×           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | multiplication sign                                                     |
|           61 | Oslash   | Ø           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with stroke (Latin capital letter O slash)       |
|           62 | Ugrave   | Ù           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with grave accent                                |
|           63 | Uacute   | Ú           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with acute accent                                |
|           64 | Ucirc    | Û           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with circumflex                                  |
|           65 | Uuml     | Ü           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with diaeresis                                   |
|           66 | Yacute   | Ý           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter Y with acute accent                                |
|           67 | THORN    | Þ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter THORN                                              |
|           68 | szlig    | ß           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter sharp s (ess-zed); see German Eszett                 |
|           69 | agrave   | à           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with grave accent                                  |
|           70 | aacute   | á           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with acute accent                                  |
|           71 | acirc    | â           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with circumflex                                    |
|           72 | atilde   | ã           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with tilde                                         |
|           73 | auml     | ä           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with diaeresis                                     |
|           74 | aring    | å           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with ring above                                    |
|           75 | aelig    | æ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter ae (Latin small ligature ae)                         |
|           76 | ccedil   | ç           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter c with cedilla                                       |
|           77 | egrave   | è           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with grave accent                                  |
|           78 | eacute   | é           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with acute accent                                  |
|           79 | ecirc    | ê           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with circumflex                                    |
|           80 | euml     | ë           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with diaeresis                                     |
|           81 | igrave   | ì           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with grave accent                                  |
|           82 | iacute   | í           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with acute accent                                  |
|           83 | icirc    | î           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with circumflex                                    |
|           84 | iuml     | ï           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with diaeresis                                     |
|           85 | eth      | ð           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter eth                                                  |
|           86 | ntilde   | ñ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter n with tilde                                         |
|           87 | ograve   | ò           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with grave accent                                  |
|           88 | oacute   | ó           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with acute accent                                  |
|           89 | ocirc    | ô           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with circumflex                                    |
|           90 | otilde   | õ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with tilde                                         |
|           91 | ouml     | ö           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with diaeresis                                     |
|           92 | divide   | ÷           |                              0 | HTML 3.2   | HTMLlat1    | ISOnum           | division sign (obelus)                                                  |
|           93 | oslash   | ø           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with stroke (Latin small letter o slash)           |
|           94 | ugrave   | ù           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with grave accent                                  |
|           95 | uacute   | ú           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with acute accent                                  |
|           96 | ucirc    | û           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with circumflex                                    |
|           97 | uuml     | ü           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with diaeresis                                     |
|           98 | yacute   | ý           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter y with acute accent                                  |
|           99 | thorn    | þ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter thorn                                                |
|          100 | yuml     | ÿ           |                              0 | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter y with diaeresis                                     |
|          101 | OElig    | Œ           |                            152 | HTML 4.0   | HTMLspecial | ISOlat2          | Latin capital ligature oe                                               |
|          102 | oelig    | œ           |                            153 | HTML 4.0   | HTMLspecial | ISOlat2          | Latin small ligature oe                                                 |
|          103 | Scaron   | Š           |                            160 | HTML 4.0   | HTMLspecial | ISOlat2          | Latin capital letter s with caron                                       |
|          104 | scaron   | š           |                            161 | HTML 4.0   | HTMLspecial | ISOlat2          | Latin small letter s with caron                                         |
|          105 | Yuml     | Ÿ           |                            178 | HTML 4.0   | HTMLspecial | ISOlat2          | Latin capital letter y with diaeresis                                   |
|          106 | fnof     | ƒ           |                            192 | HTML 4.0   | HTMLsymbol  | ISOtech          | Latin small letter f with hook (function florin)                        |
|          107 | circ     | ˆ           |                              2 | HTML 4.0   | HTMLspecial | ISOpub           | modifier letter circumflex accent                                       |
|          108 | tilde    | ˜           |                              2 | HTML 4.0   | HTMLspecial | ISOdia           | small tilde                                                             |
|          109 | Alpha    | Α           |                            391 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Alpha                                              |
|          110 | Beta     | Β           |                            392 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Beta                                               |
|          111 | Gamma    | Γ           |                            393 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Gamma                                              |
|          112 | Delta    | Δ           |                            394 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Delta                                              |
|          113 | Epsilon  | Ε           |                            395 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Epsilon                                            |
|          114 | Zeta     | Ζ           |                            396 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Zeta                                               |
|          115 | Eta      | Η           |                            397 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Eta                                                |
|          116 | Theta    | Θ           |                            398 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Theta                                              |
|          117 | Iota     | Ι           |                            399 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Iota                                               |
|          118 | Kappa    | Κ           |                             39 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Kappa                                              |
|          119 | Lambda   | Λ           |                             39 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Lambda                                             |
|          120 | Mu       | Μ           |                             39 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Mu                                                 |
|          121 | Nu       | Ν           |                             39 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Nu                                                 |
|          122 | Xi       | Ξ           |                             39 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Xi                                                 |
|          123 | Omicron  | Ο           |                             39 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Omicron                                            |
|          124 | Pi       | Π           |                              3 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Pi                                                 |
|          125 | Rho      | Ρ           |                              3 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Rho                                                |
|          126 | Sigma    | Σ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Sigma                                              |
|          127 | Tau      | Τ           |                              3 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Tau                                                |
|          128 | Upsilon  | Υ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Upsilon                                            |
|          129 | Phi      | Φ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Phi                                                |
|          130 | Chi      | Χ           |                              3 | HTML 4.0   | HTMLsymbol  |                  | Greek capital letter Chi                                                |
|          131 | Psi      | Ψ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Psi                                                |
|          132 | Omega    | Ω           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Omega                                              |
|          133 | alpha    | α           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter alpha                                                |
|          134 | beta     | β           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter beta                                                 |
|          135 | gamma    | γ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter gamma                                                |
|          136 | delta    | δ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter delta                                                |
|          137 | epsilon  | ε           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter epsilon                                              |
|          138 | zeta     | ζ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter zeta                                                 |
|          139 | eta      | η           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter eta                                                  |
|          140 | theta    | θ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter theta                                                |
|          141 | iota     | ι           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter iota                                                 |
|          142 | kappa    | κ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter kappa                                                |
|          143 | lambda   | λ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter lambda                                               |
|          144 | mu       | μ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter mu                                                   |
|          145 | nu       | ν           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter nu                                                   |
|          146 | xi       | ξ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter xi                                                   |
|          147 | omicron  | ο           |                              3 | HTML 4.0   | HTMLsymbol  | NEW              | Greek small letter omicron                                              |
|          148 | pi       | π           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter pi                                                   |
|          149 | rho      | ρ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter rho                                                  |
|          150 | sigmaf   | ς           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter final sigma                                          |
|          151 | sigma    | σ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter sigma                                                |
|          152 | tau      | τ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter tau                                                  |
|          153 | upsilon  | υ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter upsilon                                              |
|          154 | phi      | φ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter phi                                                  |
|          155 | chi      | χ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter chi                                                  |
|          156 | psi      | ψ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter psi                                                  |
|          157 | omega    | ω           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter omega                                                |
|          158 | thetasym | ϑ           |                              3 | HTML 4.0   | HTMLsymbol  | NEW              | Greek theta symbol                                                      |
|          159 | upsih    | ϒ           |                              3 | HTML 4.0   | HTMLsymbol  | NEW              | Greek Upsilon with hook symbol                                          |
|          160 | piv      | ϖ           |                              3 | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek pi symbol                                                         |
|          161 | ensp     |             |                           2002 | HTML 4.0   | HTMLspecial | ISOpub           | en space                                                                |
|          162 | emsp     |             |                           2003 | HTML 4.0   | HTMLspecial | ISOpub           | em space                                                                |
|          163 | thinsp   |             |                           2009 | HTML 4.0   | HTMLspecial | ISOpub           | thin space                                                              |
|          164 | zwnj     |             |                            200 | HTML 4.0   | HTMLspecial | NEW RFC 2070     | zero-width non-joiner                                                   |
|          165 | zwj      |             |                            200 | HTML 4.0   | HTMLspecial | NEW RFC 2070     | zero-width joiner                                                       |
|          166 | lrm      |             |                            200 | HTML 4.0   | HTMLspecial | NEW RFC 2070     | left-to-right mark                                                      |
|          167 | rlm      |             |                            200 | HTML 4.0   | HTMLspecial | NEW RFC 2070     | right-to-left mark                                                      |
|          168 | ndash    | –           |                           2013 | HTML 4.0   | HTMLspecial | ISOpub           | en dash                                                                 |
|          169 | mdash    | —           |                           2014 | HTML 4.0   | HTMLspecial | ISOpub           | em dash                                                                 |
|          170 | lsquo    | ‘           |                           2018 | HTML 4.0   | HTMLspecial | ISOnum           | left single quotation mark                                              |
|          171 | rsquo    | ’           |                           2019 | HTML 4.0   | HTMLspecial | ISOnum           | right single quotation mark                                             |
|          172 | sbquo    | ‚           |                            201 | HTML 4.0   | HTMLspecial | NEW              | single low-9 quotation mark                                             |
|          173 | ldquo    | “           |                            201 | HTML 4.0   | HTMLspecial | ISOnum           | left double quotation mark                                              |
|          174 | rdquo    | ”           |                            201 | HTML 4.0   | HTMLspecial | ISOnum           | right double quotation mark                                             |
|          175 | bdquo    | „           |                            201 | HTML 4.0   | HTMLspecial | NEW              | double low-9 quotation mark                                             |
|          176 | dagger   | †           |                           2020 | HTML 4.0   | HTMLspecial | ISOpub           | dagger obelisk                                                          |
|          177 | Dagger   | ‡           |                           2021 | HTML 4.0   | HTMLspecial | ISOpub           | double dagger double obelisk                                            |
|          178 | bull     | •           |                           2022 | HTML 4.0   | HTMLspecial | ISOpub           | bullet (black small circle)                                             |
|          179 | hellip   | …           |                           2026 | HTML 4.0   | HTMLsymbol  | ISOpub           | horizontal ellipsis (three dot leader)                                  |
|          180 | permil   | ‰           |                           2030 | HTML 4.0   | HTMLspecial | ISOtech          | per mille sign                                                          |
|          181 | prime    | ′           |                           2032 | HTML 4.0   | HTMLsymbol  | ISOtech          | prime (minutes feet)                                                    |
|          182 | Prime    | ″           |                           2033 | HTML 4.0   | HTMLsymbol  | ISOtech          | double prime (seconds inches)                                           |
|          183 | lsaquo   | ‹           |                           2039 | HTML 4.0   | HTMLspecial | ISO proposed     | single left-pointing angle quotation mark                               |
|          184 | rsaquo   | ›           |                            203 | HTML 4.0   | HTMLspecial | ISO proposed     | single right-pointing angle quotation mark                              |
|          185 | oline    | ‾           |                            203 | HTML 4.0   | HTMLsymbol  | NEW              | overline (spacing overscore)                                            |
|          186 | frasl    | ⁄           |                           2044 | HTML 4.0   | HTMLsymbol  | NEW              | fraction slash (solidus)                                                |
|          187 | euro     | €           |                             20 | HTML 4.0   | HTMLspecial | NEW              | euro sign                                                               |
|          188 | image    | ℑ           |                           2111 | HTML 4.0   | HTMLsymbol  | ISOamso          | black-letter capital I (imaginary part)                                 |
|          189 | weierp   | ℘           |                           2118 | HTML 4.0   | HTMLsymbol  | ISOamso          | script capital P (power set Weierstrass p)                              |
|          190 | real     | ℜ           |                            211 | HTML 4.0   | HTMLsymbol  | ISOamso          | black-letter capital R (real part symbol)                               |
|          191 | trade    | ™           |                           2122 | HTML 4.0   | HTMLsymbol  | ISOnum           | trademark symbol                                                        |
|          192 | alefsym  | ℵ           |                           2135 | HTML 4.0   | HTMLsymbol  | NEW              | alef symbol (first transfinite cardinal)                                |
|          193 | larr     | ←           |                           2190 | HTML 4.0   | HTMLsymbol  | ISOnum           | leftwards arrow                                                         |
|          194 | uarr     | ↑           |                           2191 | HTML 4.0   | HTMLsymbol  | ISOnum           | upwards arrow                                                           |
|          195 | rarr     | →           |                           2192 | HTML 4.0   | HTMLsymbol  | ISOnum           | rightwards arrow                                                        |
|          196 | darr     | ↓           |                           2193 | HTML 4.0   | HTMLsymbol  | ISOnum           | downwards arrow                                                         |
|          197 | harr     | ↔           |                           2194 | HTML 4.0   | HTMLsymbol  | ISOamsa          | left right arrow                                                        |
|          198 | crarr    | ↵           |                             21 | HTML 4.0   | HTMLsymbol  | NEW              | downwards arrow with corner leftwards (carriage return)                 |
|          199 | lArr     | ⇐           |                             21 | HTML 4.0   | HTMLsymbol  | ISOtech          | leftwards double arrow                                                  |
|          200 | uArr     | ⇑           |                             21 | HTML 4.0   | HTMLsymbol  | ISOamsa          | upwards double arrow                                                    |
|          201 | rArr     | ⇒           |                             21 | HTML 4.0   | HTMLsymbol  | ISOnum           | rightwards double arrow                                                 |
|          202 | dArr     | ⇓           |                             21 | HTML 4.0   | HTMLsymbol  | ISOamsa          | downwards double arrow                                                  |
|          203 | hArr     | ⇔           |                             21 | HTML 4.0   | HTMLsymbol  | ISOamsa          | left right double arrow                                                 |
