=== Table ID ===
csv/203-csv/128.tsv

=== Question ===
does unicode use the term 'brace' or 'bracket'?

=== Sub-table Preview ===
|   Season | Series                          | Team               |   Races |   Wins |   Poles |   F/Laps |   Podiums | Points   | Position   |
|---------:|:--------------------------------|:-------------------|--------:|-------:|--------:|---------:|----------:|:---------|:-----------|
|     2009 | Asian Formula Renault Challenge | Asia Racing Team   |      12 |      6 |       2 |        4 |         7 | 287      | 2nd        |
|     2010 | Austria Formula 3 Cup           | Sonangol Motopark  |       4 |      1 |       2 |        3 |         2 | 35       | 9th        |
|     2012 | 59th Macau Grand Prix Formula 3 | Angola Racing Team |       2 |      0 |       0 |        0 |         0 | —        | 23rd       |
|     2012 | Masters of Formula 3            | Angola Racing Team |       1 |      0 |       0 |        0 |         0 | —        | 18th       |
|     2012 | British Formula 3 Championship  | Angola Racing Team |       5 |      0 |       0 |        0 |         0 | —        | —          |
|     2013 | GP3 Series                      | Carlin             |      16 |      0 |       0 |        0 |         0 | 0        | 23rd       |

=== Table Summary ===
**Column Analysis:**

1. Season
   - Data type: Numeric
   - 4 representative example values: 2009, 2010, 2012, 2013
   - Role: Identifier for the racing season

2. Series
   - Data type: Categorical
   - 4 representative example values: Asian Formula Renault Challenge, Austria Formula 3 Cup, 59th Macau Grand Prix Formula 3, GP3 Series
   - Role: Descriptor of the racing series

3. Team
   - Data type: Categorical
   - 4 representative example values: Asia Racing Team, Sonangol Motopark, Angola Racing Team, Carlin
   - Role: Descriptor of the racing team

4. Races
   - Data type: Numeric
   - 4 representative example values: 12, 4, 2, 16
   - Role: Measure of the number of races participated in

5. Wins
   - Data type: Numeric
   - 4 representative example values: 6, 1, 0, 0
   - Role: Measure of the number of wins achieved

6. Poles
   - Data type: Numeric
   - 4 representative example values: 2, 2, 0, 0
   - Role: Measure of the number of pole positions achieved

7. F/Laps
   - Data type: Numeric
   - 4 representative example values: 4, 3, 0, 0
   - Role: Measure of the number of fastest laps achieved

8. Podiums
   - Data type: Numeric
   - 4 representative example values: 7, 2, 0, 0
   - Role: Measure of the number of podium finishes achieved

9. Points
   - Data type: Numeric
   - 4 representative example values: 287, 35, —, 0
   - Role: Measure of the total points earned

10. Position
    - Data type: Categorical
    - 4 representative example values: 2nd, 9th, 23rd, —
    - Role: Descriptor of the final position in the championship standings

**Outlier Row Analysis:**

1. Row 2 (Index 2):
   - The team "Sonangol Motopark" has only participated in 4 races, which is significantly lower than the other entries in the table.
   - This row is an outlier due to the unusually low number of races compared to the rest of the data.

2. Row 5 (Index 5):
   - The team "Angola Racing Team" has missing values for all performance metrics (Wins, Poles, F/Laps, Podiums, Points).
   - This row is an outlier due to the lack of performance data, making it distinct from the other entries in the table.

3. Row 11 (Index 11):
   - The team "Carlin" has earned 0 points in the GP3 Series, which is significantly lower than the other entries in the table.
   - This row is an outlier due to the lack of points earned compared to the majority of the data.

=== Full Table Preview ===
|   row_number | name                 | glyph   | C string   | Unicode   | Unicode name              |
|           47 | G                    | G       | G          | U+0047    | LATIN CAPITAL LETTER G    |
|           48 | H                    | H       | H          | U+0048    | LATIN CAPITAL LETTER H    |
|           49 | I                    | I       | I          | U+0049    | LATIN CAPITAL LETTER I    |
|           50 | J                    | J       | J          | U+004A    | LATIN CAPITAL LETTER J    |
|           51 | K                    | K       | K          | U+004B    | LATIN CAPITAL LETTER K    |
|           52 | L                    | L       | L          | U+004C    | LATIN CAPITAL LETTER L    |
|           53 | M                    | M       | M          | U+004D    | LATIN CAPITAL LETTER M    |
|           54 | N                    | N       | N          | U+004E    | LATIN CAPITAL LETTER N    |
|           55 | O                    | O       | O          | U+004F    | LATIN CAPITAL LETTER O    |
|           56 | P                    | P       | P          | U+0050    | LATIN CAPITAL LETTER P    |
|           57 | Q                    | Q       | Q          | U+0051    | LATIN CAPITAL LETTER Q    |
|           58 | R                    | R       | R          | U+0052    | LATIN CAPITAL LETTER R    |
|           59 | S                    | S       | S          | U+0053    | LATIN CAPITAL LETTER S    |
|           60 | T                    | T       | T          | U+0054    | LATIN CAPITAL LETTER T    |
|           61 | U                    | U       | U          | U+0055    | LATIN CAPITAL LETTER U    |
|           62 | V                    | V       | V          | U+0056    | LATIN CAPITAL LETTER V    |
|           63 | W                    | W       | W          | U+0057    | LATIN CAPITAL LETTER W    |
|           64 | X                    | X       | X          | U+0058    | LATIN CAPITAL LETTER X    |
|           65 | Y                    | Y       | Y          | U+0059    | LATIN CAPITAL LETTER Y    |
|           66 | Z                    | Z       | Z          | U+005A    | LATIN CAPITAL LETTER Z    |
|           67 | left-square-bracket  | [       | [          | U+005B    | LEFT SQUARE BRACKET       |
|           68 | backslash            | \\      | \\\\       | U+005C    | REVERSE SOLIDUS           |
|           69 | right-square-bracket | ]       | ]          | U+005D    | RIGHT SQUARE BRACKET      |
|           70 | circumflex           | ^       | ^          | U+005E    | CIRCUMFLEX ACCENT         |
|           71 | underscore           | _       | _          | U+005F    | LOW LINE                  |
|           72 | grave-accent         | `       | `          | U+0060    | GRAVE ACCENT              |
|           73 | a                    | a       | a          | U+0061    | LATIN SMALL LETTER A      |
|           74 | b                    | b       | b          | U+0062    | LATIN SMALL LETTER B      |
|           75 | c                    | c       | c          | U+0063    | LATIN SMALL LETTER C      |
|           76 | d                    | d       | d          | U+0064    | LATIN SMALL LETTER D      |
|           77 | e                    | e       | e          | U+0065    | LATIN SMALL LETTER E      |
|           78 | f                    | f       | f          | U+0066    | LATIN SMALL LETTER F      |
|           79 | g                    | g       | g          | U+0067    | LATIN SMALL LETTER G      |
|           80 | h                    | h       | h          | U+0068    | LATIN SMALL LETTER H      |
|           81 | i                    | i       | i          | U+0069    | LATIN SMALL LETTER I      |
|           82 | j                    | j       | j          | U+006A    | LATIN SMALL LETTER J      |
|           83 | k                    | k       | k          | U+006B    | LATIN SMALL LETTER K      |
|           84 | l                    | l       | l          | U+006C    | LATIN SMALL LETTER L      |
|           85 | m                    | m       | m          | U+006D    | LATIN SMALL LETTER M      |
|           86 | n                    | n       | n          | U+006E    | LATIN SMALL LETTER N      |
|           87 | o                    | o       | o          | U+006F    | LATIN SMALL LETTER O      |
|           88 | p                    | p       | p          | U+0070    | LATIN SMALL LETTER P      |
|           89 | q                    | q       | q          | U+0071    | LATIN SMALL LETTER Q      |
|           90 | r                    | r       | r          | U+0072    | LATIN SMALL LETTER R      |
|           91 | s                    | s       | s          | U+0073    | LATIN SMALL LETTER S      |
|           92 | t                    | t       | t          | U+0074    | LATIN SMALL LETTER T      |
|           93 | u                    | u       | u          | U+0075    | LATIN SMALL LETTER U      |
|           94 | v                    | v       | v          | U+0076    | LATIN SMALL LETTER V      |
|           95 | w                    | w       | w          | U+0077    | LATIN SMALL LETTER W      |
|           96 | x                    | x       | x          | U+0078    | LATIN SMALL LETTER X      |
|           97 | y                    | y       | y          | U+0079    | LATIN SMALL LETTER Y      |
|           98 | z                    | z       | z          | U+007A    | LATIN SMALL LETTER Z      |
|           99 | left-brace           | {       | {          | U+007B    | LEFT CURLY BRACKET        |
|          100 | vertical-line        | \p      | \p         | U+007C    | VERTICAL LINE             |
|          101 | right-brace          | }       | }          | U+007D    | RIGHT CURLY BRACKET       |
|          102 | tilde                | ~       | ~          | U+007E    | TILDE                     |

Generated Reasoning SQL: Explanation: To determine whether Unicode uses the term 'brace' or 'bracket', we need to search for these terms in the "Unicode name" column of the table. We will use a LIKE condition to match any occurrence of 'brace' or 'bracket' within the Unicode names.

SQL: 
SELECT DISTINCT "Unicode name" 
FROM T 
WHERE "Unicode name" LIKE '%brace%' OR "Unicode name" LIKE '%bracket%';
Generated Final SQL: SELECT DISTINCT "Unicode name" FROM T WHERE "Unicode name" LIKE '%brace%' OR "Unicode name" LIKE '%bracket%';
SQL 실행 결과 셀 수: 4
=== SQL 실행 결과 미리보기 ===
| Unicode name         |
|:---------------------|
| LEFT SQUARE BRACKET  |
| RIGHT SQUARE BRACKET |
| LEFT CURLY BRACKET   |
| RIGHT CURLY BRACKET  |
Reasoning Prompt:

You are a strict SQL reasoning assistant. 
Your task is to return the final answer **directly from the SQL result table**.

Rules:
- Do not generate new SQL or mention schema/summary.
- Always write a short reasoning step before the Final Answer.
- If one cell is returned: briefly confirm it is the only result.
- If multiple rows/columns: reason step by step to filter or choose.
- Ensure the final answer format is only "Final Answer: AnswerName1, AnswerName2..." form, no other form. And ensure the final answer is a number or entity names, as short as possible, without any explanation.

Examples:

Table_title: Olympic Events
SQL: select "event" from T where cast("year" as integer) = 2008

event
100m Sprint
Long Jump
Marathon
Swimming

Question: how many events were held in 2008?
Answer: Let's think step by step.  
There are 4 rows returned for 2008, each representing one event.  
Final Answer: 4


Table_title: 2013-14 Toros Mexico season
SQL: select "opponent", "date" from T where "date" > '2014-11-10' order by "date" asc

opponent          | date
Turlock Express   | 2014-11-14

Question: who did the team play after the las vegas legends on november 10?
Answer: Let's think step by step.  
The next opponent listed after November 10 is Turlock Express.  
Final Answer: Turlock Express

Table_title: Portable character set
SQL: SELECT DISTINCT "Unicode name" FROM T WHERE "Unicode name" LIKE '%brace%' OR "Unicode name" LIKE '%bracket%';

SQL Execution Result:
Unicode name
LEFT SQUARE BRACKET
RIGHT SQUARE BRACKET
LEFT CURLY BRACKET
RIGHT CURLY BRACKET

Question: does unicode use the term 'brace' or 'bracket'?
A: To find the answer to this question, let’s think step by step.
Prediction: left square bracket, right square bracket, left curly bracket, right curly bracket
[Gold Answer] bracket

