=== Table ID ===
csv/202-csv/81.tsv

=== Question ===
how many different flyby's have been done for the halley comet?

=== Sub-table Preview ===
| Comet                     | Discoverer(s) or namesake(s)   |   Orbital period (years) | Spacecraft encounter(s)   |
|:--------------------------|:-------------------------------|-------------------------:|:--------------------------|
| 67P/Churyumov–Gerasimenko | Churyumov & Gerasimenko        |                     6.45 | Rosetta (orbiter 2014)    |
| 217P/LINEAR               | LINEAR                         |                     7.83 | nan                       |
| 237P/LINEAR               | LINEAR                         |                     6.57 | nan                       |
| 273P/Pons–Gambart         | Pons & Gambart                 |                   188    | nan                       |
| 276P/Vorobjov             | Vorobjov                       |                    12.5  | nan                       |
| 277P/LINEAR               | LINEAR                         |                     7.59 | nan                       |

=== Table Summary ===
**Column Analysis:**

1. Comet
   - Data type: Categorical
   - 4 representative example values: 67P/Churyumov–Gerasimenko, 217P/LINEAR, 237P/LINEAR, 273P/Pons–Gambart
   - Role: Identifier

2. Discoverer(s) or namesake(s)
   - Data type: Categorical
   - 4 representative example values: Churyumov & Gerasimenko, LINEAR, Pons & Gambart, Vorobjov
   - Role: Descriptor

3. Orbital period (years)
   - Data type: Numeric
   - 4 representative example values: 6.45, 7.83, 6.57, 188
   - Role: Measure

4. Spacecraft encounter(s)
   - Data type: Categorical
   - 4 representative example values: Rosetta (orbiter 2014), nan
   - Role: Descriptor

**Outlier Row Analysis:**

1. Row 66:
   - The values in this row are not provided, indicated by "nan" in all columns.
   - This row is an outlier due to missing data in all columns, making it distinct from the majority of the table.

2. Row 275:
   - The values in this row are not provided, indicated by "nan" in all columns.
   - This row is an outlier due to missing data in all columns, making it distinct from the majority of the table.

3. Row 272:
   - The values in this row are not provided, indicated by "nan" in all columns.
   - This row is an outlier due to missing data in all columns, making it distinct from the majority of the table.

=== Full Table Preview ===
|   row_number | Comet                                                        | Discoverer(s) or namesake(s)                                                                |   Orbital period (years) | Spacecraft encounter(s)                                                                                                                |
|           22 | 23P/Brorsen–Metcalf                                          | Brorsen & Metcalf                                                                           |                    70.52 |                                                                                                                                        |
|           23 | 24P/Schaumasse                                               | Schaumasse                                                                                  |                     8.25 |                                                                                                                                        |
|           24 | 25D/Neujmin (Neujmin 2)                                      | Neujmin                                                                                     |                   nan    |                                                                                                                                        |
|           25 | 26P/Grigg–Skjellerup                                         | Grigg & Skjellerup                                                                          |                     5.31 | Giotto (flyby 1992)                                                                                                                    |
|           26 | 27P/Crommelin                                                | Crommelin                                                                                   |                    27.93 |                                                                                                                                        |
|           27 | 28P/Neujmin (Neujmin 1)                                      | Neujmin                                                                                     |                    18.17 |                                                                                                                                        |
|           28 | 29P/Schwassmann–Wachmann (Schwassmann–Wachmann 1)            | Schwassmann & Wachmann                                                                      |                    14.69 |                                                                                                                                        |
|           29 | 30P/Reinmuth (Reinmuth 1)                                    | Reinmuth                                                                                    |                     7.34 |                                                                                                                                        |
|           30 | 31P/Schwassmann–Wachmann (Schwassmann–Wachmann 2)            | Schwassmann & Wachmann                                                                      |                     8.75 |                                                                                                                                        |
|           31 | 32P/Comas Solá                                               | Comas Solá                                                                                  |                     8.8  |                                                                                                                                        |
|           32 | 33P/Daniel                                                   | Daniel                                                                                      |                     8.07 |                                                                                                                                        |
|           33 | 34D/Gale                                                     | Gale                                                                                        |                   nan    |                                                                                                                                        |
|           34 | 35P/Herschel–Rigollet                                        | Herschel & Rigollet                                                                         |                   155    |                                                                                                                                        |
|           35 | 36P/Whipple                                                  | Whipple                                                                                     |                     8.55 |                                                                                                                                        |
|           36 | 37P/Forbes                                                   | Forbes                                                                                      |                     6.35 |                                                                                                                                        |
|           37 | 38P/Stephan–Oterma                                           | Stephan & Oterma                                                                            |                    37.72 |                                                                                                                                        |
|           38 | 39P/Oterma                                                   | Oterma                                                                                      |                    19.53 |                                                                                                                                        |
|           39 | 40P/Väisälä (Väisälä 1)                                      | Väisälä                                                                                     |                    10.82 |                                                                                                                                        |
|           40 | 41P/Tuttle–Giacobini–Kresák                                  | Tuttle & Giacobini & Kresák                                                                 |                     5.42 |                                                                                                                                        |
|           41 | 42P/Neujmin (Neujmin 3)                                      | Neujmin                                                                                     |                    10.7  |                                                                                                                                        |
|           42 | 43P/Wolf–Harrington                                          | Wolf & Harrington                                                                           |                     6.13 |                                                                                                                                        |
|           43 | 44P/Reinmuth (Reinmuth 2)                                    | Reinmuth                                                                                    |                     7.08 |                                                                                                                                        |
|           44 | 45P/Honda–Mrkos–Pajdušáková                                  | Honda & Mrkos & Pajdušáková                                                                 |                     5.26 |                                                                                                                                        |
|           45 | 46P/Wirtanen                                                 | Wirtanen                                                                                    |                     5.44 | ICE (distant flyby 2018 – proposed) CHopper (lander 2022—proposed)                                                                     |
|           46 | 47P/Ashbrook–Jackson                                         | Ashbrook & Jackson                                                                          |                     8.35 |                                                                                                                                        |
|           47 | 48P/Johnson                                                  | Johnson                                                                                     |                     6.95 |                                                                                                                                        |
|           48 | 49P/Arend–Rigaux                                             | Arend & Rigaux                                                                              |                     6.73 |                                                                                                                                        |
|           49 | 50P/Arend                                                    | Arend                                                                                       |                     8.25 |                                                                                                                                        |
|           50 | 51P/Harrington                                               | Harrington                                                                                  |                     7.13 |                                                                                                                                        |
|           51 | 52P/Harrington–Abell                                         | Harrington & Abell                                                                          |                     7.54 |                                                                                                                                        |
|           52 | 53P/Van Biesbroeck                                           | Van Biesbroeck                                                                              |                    12.6  |                                                                                                                                        |
|           53 | 54P/de Vico–Swift–NEAT                                       | de Vico & Swift & NEAT                                                                      |                     7.38 |                                                                                                                                        |
|           54 | 55P/Tempel–Tuttle                                            | Tempel & Tuttle                                                                             |                    33.24 |                                                                                                                                        |
|           55 | 56P/Slaughter–Burnham                                        | Slaughter & Burnham                                                                         |                    11.54 |                                                                                                                                        |
|           56 | 57P/du Toit–Neujmin–Delporte                                 | du Toit & Neujmin & Delporte                                                                |                     6.4  |                                                                                                                                        |
|           57 | 58P/Jackson–Neujmin                                          | Jackson & Neujmin                                                                           |                     8.24 |                                                                                                                                        |
|           58 | 59P/Kearns–Kwee                                              | Kearns & Kwee                                                                               |                     9.51 |                                                                                                                                        |
|           59 | 60P/Tsuchinshan (Tsuchinshan 2)                              | Tsuchinshan                                                                                 |                     6.56 |                                                                                                                                        |
|           60 | 61P/Shajn–Schaldach                                          | Shajn & Schaldach                                                                           |                     7.06 |                                                                                                                                        |
|           61 | 62P/Tsuchinshan (Tsuchinshan 1)                              | Tsuchinshan                                                                                 |                     6.63 |                                                                                                                                        |
|           62 | 63P/Wild (Wild 1)                                            | Wild                                                                                        |                    13.25 |                                                                                                                                        |
|           63 | 64P/Swift–Gehrels                                            | Swift & Gehrels                                                                             |                     9.35 |                                                                                                                                        |
|           64 | 65P/Gunn                                                     | Gunn                                                                                        |                     6.88 |                                                                                                                                        |
|           65 | 66P/du Toit                                                  | du Toit                                                                                     |                    14.71 |                                                                                                                                        |
|           66 | 67P/Churyumov–Gerasimenko                                    | Churyumov & Gerasimenko                                                                     |                     6.45 | Rosetta (orbiter 2014)                                                                                                                 |
|           67 | 68P/Klemola                                                  | Klemola                                                                                     |                    10.83 |                                                                                                                                        |
|           68 | 69P/Taylor                                                   | Taylor                                                                                      |                     7.65 |                                                                                                                                        |
|           69 | 70P/Kojima                                                   | Kojima                                                                                      |                     7.06 |                                                                                                                                        |
|           70 | 71P/Clark                                                    | Clark                                                                                       |                     5.53 |                                                                                                                                        |
|           71 | 72D/Denning–Fujikawa                                         | Denning & Fujikawa                                                                          |                   nan    |                                                                                                                                        |
|           72 | 73P/Schwassmann–Wachmann (Schwassmann–Wachmann 3)            | Schwassmann & Wachmann                                                                      |                     5.36 |                                                                                                                                        |
|           73 | 74P/Smirnova–Chernykh                                        | Smirnova & Chernykh                                                                         |                     8.51 |                                                                                                                                        |
|           74 | 75D/Kohoutek                                                 | Kohoutek                                                                                    |                     7    |                                                                                                                                        |
|           75 | 76P/West–Kohoutek–Ikemura                                    | West & Kohoutek & Ikemura                                                                   |                     6.48 |                                                                                                                                        |
|           76 | 77P/Longmore                                                 | Longmore                                                                                    |                     6.88 |                                                                                                                                        |
|           77 | 78P/Gehrels (Gehrels 2)                                      | Gehrels                                                                                     |                     7.22 |                                                                                                                                        |
|           78 | 79P/du Toit–Hartley                                          | du Toit & Hartley                                                                           |                     5.28 |                                                                                                                                        |
|           79 | 80P/Peters–Hartley                                           | Peters & Hartley                                                                            |                     8.12 |                                                                                                                                        |
|           80 | 81P/Wild (Wild 2)                                            | Wild                                                                                        |                     6.41 | Stardust (flyby/sample return 2004)                                                                                                    |
|           81 | 82P/Gehrels (Gehrels 3)                                      | Gehrels                                                                                     |                     8.43 |                                                                                                                                        |
|           82 | 83D/Russell (Russell 1)                                      | Russell                                                                                     |                   nan    |                                                                                                                                        |
|           83 | 84P/Giclas                                                   | Giclas                                                                                      |                     6.97 |                                                                                                                                        |
|           84 | 85P/Boethin                                                  | Boethin                                                                                     |                    11.81 |                                                                                                                                        |
|           85 | 86P/Wild (Wild 3)                                            | Wild                                                                                        |                     6.91 |                                                                                                                                        |
|           86 | 87P/Bus                                                      | Bus                                                                                         |                     6.51 |                                                                                                                                        |
|           87 | 88P/Howell                                                   | Howell                                                                                      |                     5.49 |                                                                                                                                        |
|           88 | 89P/Russell (Russell 2)                                      | Russell                                                                                     |                     7.26 |                                                                                                                                        |
|           89 | 90P/Gehrels (Gehrels 1)                                      | Gehrels                                                                                     |                    14.85 |                                                                                                                                        |
|           90 | 91P/Russell (Russell 3)                                      | Russell                                                                                     |                     7.67 |                                                                                                                                        |
|           91 | 92P/Sanguin                                                  | Sanguin                                                                                     |                    12.43 |                                                                                                                                        |
|           92 | 93P/Lovas (Lovas 1)                                          | Lovas                                                                                       |                     9.2  |                                                                                                                                        |
|           93 | 94P/Russell (Russell 4)                                      | Russell                                                                                     |                     6.58 |                                                                                                                                        |
|           94 | 95P/Chiron = minor planet 2060 Chiron                        | Kowal                                                                                       |                    50.5  |                                                                                                                                        |
|           95 | 96P/Machholz (Machholz 1)                                    | Machholz                                                                                    |                     5.28 |                                                                                                                                        |
|           96 | 97P/Metcalf–Brewington                                       | Metcalf & Brewington                                                                        |                    10.51 |                                                                                                                                        |
|           97 | 98P/Takamizawa                                               | Takamizawa                                                                                  |                     7.4  |                                                                                                                                        |
|           98 | 99P/Kowal (Kowal 1)                                          | Kowal                                                                                       |                    15.25 |                                                                                                                                        |
|           99 | 100P/Hartley (Hartley 1)                                     | Hartley                                                                                     |                     6.35 |                                                                                                                                        |
|          100 | 101P/Chernykh                                                | Chernykh                                                                                    |                    13.94 |                                                                                                                                        |
|          101 | 102P/Shoemaker (Shoemaker 1)                                 | C. Shoemaker & E. Shoemaker                                                                 |                     7.22 |                                                                                                                                        |
|          102 | 103P/Hartley (Hartley 2)                                     | Hartley                                                                                     |                     6.47 | Deep Impact (flyby 2010)                                                                                                               |
|          103 | 104P/Kowal (Kowal 2)                                         | Kowal                                                                                       |                     5.89 |                                                                                                                                        |
|          104 | 105P/Singer Brewster                                         | Singer-Brewster                                                                             |                     6.47 |                                                                                                                                        |
|          105 | 106P/Schuster                                                | Schuster                                                                                    |                     7.31 |                                                                                                                                        |
|          106 | 107P/Wilson–Harrington = minor planet 4015 Wilson–Harrington | Helin & Wilson & Harrington                                                                 |                     4.29 |                                                                                                                                        |
|          107 | 108P/Ciffréo                                                 | Ciffréo                                                                                     |                     7.26 |                                                                                                                                        |
|          108 | 109P/Swift–Tuttle                                            | Swift & Tuttle                                                                              |                   133.28 |                                                                                                                                        |
|          109 | 110P/Hartley (Hartley 3)                                     | Hartley                                                                                     |                     6.88 |                                                                                                                                        |
|          110 | 111P/Helin–Roman–Crockett                                    | Helin & Roman & Crockett                                                                    |                     8.14 |                                                                                                                                        |
|          111 | 112P/Urata–Niijima                                           | Urata & Niijima                                                                             |                     6.67 |                                                                                                                                        |
|          112 | 113P/Spitaler                                                | Spitaler                                                                                    |                     7.09 |                                                                                                                                        |
|          113 | 114P/Wiseman–Skiff                                           | Wiseman & Skiff                                                                             |                     6.67 |                                                                                                                                        |
|          114 | 115P/Maury                                                   | Maury                                                                                       |                     8.76 |                                                                                                                                        |
|          115 | 116P/Wild (Wild 4)                                           | Wild                                                                                        |                     6.51 |                                                                                                                                        |
|          116 | 117P/Helin–Roman–Alu (Helin–Roman–Alu 1)                     | Helin & Roman & Alu                                                                         |                     8.24 |                                                                                                                                        |
|          117 | 118P/Shoemaker–Levy (Shoemaker–Levy 4)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                     6.44 |                                                                                                                                        |
|          118 | 119P/Parker–Hartley                                          | Parker & Hartley                                                                            |                     8.89 |                                                                                                                                        |
|          119 | 120P/Mueller (Mueller 1)                                     | Mueller                                                                                     |                     8.43 |                                                                                                                                        |
|          120 | 121P/Shoemaker–Holt (Shoemaker–Holt 2)                       | C.Shoemaker E.Shoemaker & Holt                                                              |                     8.02 |                                                                                                                                        |
|          121 | 122P/de Vico                                                 | de Vico                                                                                     |                    74.35 |                                                                                                                                        |
|          122 | 123P/West–Hartley                                            | West & Hartley                                                                              |                     7.59 |                                                                                                                                        |
|          123 | 124P/Mrkos                                                   | Mrkos                                                                                       |                     5.75 |                                                                                                                                        |
|          124 | 125P/Spacewatch                                              | Spacewatch                                                                                  |                     5.53 |                                                                                                                                        |
|          125 | 126P/IRAS                                                    | IRAS                                                                                        |                    13.41 |                                                                                                                                        |
|          126 | 127P/Holt–Olmstead                                           | Holt & Olmstead                                                                             |                     6.41 |                                                                                                                                        |
|          127 | 128P/Shoemaker–Holt (Shoemaker–Holt 1)                       | C. Shoemaker E. Shoemaker & Holt                                                            |                     9.59 |                                                                                                                                        |
|          128 | 129P/Shoemaker–Levy (Shoemaker–Levy 3)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                     8.89 |                                                                                                                                        |
|          129 | 130P/McNaught–Hughes                                         | McNaught & Hughes                                                                           |                     6.66 |                                                                                                                                        |
|          130 | 131P/Mueller (Mueller 2)                                     | Mueller                                                                                     |                     7.08 |                                                                                                                                        |
|          131 | 132P/Helin–Roman–Alu (Helin–Roman–Alu 2)                     | Helin & Roman & Alu                                                                         |                     8.28 |                                                                                                                                        |
|          132 | 133P/Elst–Pizarro = minor planet 7968 Elst–Pizarro           | Elst & Pizarro                                                                              |                     5.62 |                                                                                                                                        |
|          133 | 134P/Kowal–Vávrová                                           | Kowal & Vávrová                                                                             |                    15.6  |                                                                                                                                        |
|          134 | 135P/Shoemaker–Levy (Shoemaker–Levy 8)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                     7.5  |                                                                                                                                        |
|          135 | 136P/Mueller (Mueller 3)                                     | Mueller                                                                                     |                     8.62 |                                                                                                                                        |
|          136 | 137P/Shoemaker–Levy (Shoemaker–Levy 2)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                     9.55 |                                                                                                                                        |
|          137 | 138P/Shoemaker–Levy (Shoemaker–Levy 7)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                     6.91 |                                                                                                                                        |
|          138 | 139P/Väisälä–Oterma                                          | Väisälä & Oterma                                                                            |                     9.61 |                                                                                                                                        |
|          139 | 140P/Bowell–Skiff                                            | Bowell & Skiff                                                                              |                    16.18 |                                                                                                                                        |
|          140 | 141P/Machholz (Machholz 2)                                   | Machholz                                                                                    |                     5.23 |                                                                                                                                        |
|          141 | 142P/Ge–Wang                                                 | Ge & Wang                                                                                   |                    11.09 |                                                                                                                                        |
|          142 | 143P/Kowal–Mrkos                                             | Kowal & Mrkos                                                                               |                     8.93 |                                                                                                                                        |
|          143 | 144P/Kushida                                                 | Kushida                                                                                     |                     7.57 |                                                                                                                                        |
|          144 | 145P/Shoemaker–Levy (Shoemaker–Levy 5)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                     8.66 |                                                                                                                                        |
|          145 | 146P/Shoemaker–LINEAR                                        | C. Shoemaker E. Shoemaker & LINEAR                                                          |                     8.12 |                                                                                                                                        |
|          146 | 147P/Kushida–Muramatsu                                       | Kushida & Muramatsu                                                                         |                     7.41 |                                                                                                                                        |
|          147 | 148P/Anderson–LINEAR                                         | Anderson & LINEAR                                                                           |                     7.07 |                                                                                                                                        |
|          148 | 149P/Mueller (Mueller 4)                                     | Mueller                                                                                     |                     9.02 |                                                                                                                                        |
|          149 | 150P/LONEOS                                                  | LONEOS                                                                                      |                     7.66 |                                                                                                                                        |
|          150 | 151P/Helin                                                   | Helin                                                                                       |                    14.1  |                                                                                                                                        |
|          151 | 152P/Helin–Lawrence                                          | Helin & Lawrence                                                                            |                     9.54 |                                                                                                                                        |
|          152 | 153P/Ikeya–Zhang                                             | Ikeya & Zhang                                                                               |                   366.5  |                                                                                                                                        |
|          153 | 154P/Brewington                                              | Brewington                                                                                  |                    10.66 |                                                                                                                                        |
|          154 | 155P/Shoemaker (Shoemaker 3)                                 | C. Shoemaker & E. Shoemaker                                                                 |                    17.09 |                                                                                                                                        |
|          155 | 156P/Russell–LINEAR                                          | Russell & LINEAR                                                                            |                     6.84 |                                                                                                                                        |
|          156 | 157P/Tritton                                                 | Tritton                                                                                     |                     6.29 |                                                                                                                                        |
|          157 | 158P/Kowal–LINEAR                                            | Kowal & LINEAR                                                                              |                    10.26 |                                                                                                                                        |
|          158 | 159P/LONEOS                                                  | LONEOS                                                                                      |                    14.32 |                                                                                                                                        |
|          159 | 160P/LINEAR                                                  | LINEAR                                                                                      |                     7.95 |                                                                                                                                        |
|          160 | 161P/Hartley–IRAS                                            | Hartley & IRAS                                                                              |                    21.43 |                                                                                                                                        |
|          161 | 162P/Siding Spring                                           | Siding Spring                                                                               |                     5.32 |                                                                                                                                        |
|          162 | 163P/NEAT                                                    | NEAT                                                                                        |                     7.3  |                                                                                                                                        |
|          163 | 164P/Christensen                                             | Christensen                                                                                 |                     6.97 |                                                                                                                                        |
|          164 | 165P/LINEAR                                                  | LINEAR                                                                                      |                    76.7  |                                                                                                                                        |
|          165 | 166P/NEAT                                                    | NEAT                                                                                        |                    51.73 |                                                                                                                                        |
|          166 | 167P/CINEOS                                                  | CINEOS                                                                                      |                    64.85 |                                                                                                                                        |
|          167 | 168P/Hergenrother                                            | Hergenrother                                                                                |                     6.89 |                                                                                                                                        |
|          168 | 169P/NEAT                                                    | NEAT                                                                                        |                     4.2  |                                                                                                                                        |
|          169 | 170P/Christensen                                             | Christensen                                                                                 |                     8.63 |                                                                                                                                        |
|          170 | 171P/Spahr                                                   | Spahr                                                                                       |                     6.7  |                                                                                                                                        |
|          171 | 172P/Yeung                                                   | Yeung                                                                                       |                     6.59 |                                                                                                                                        |
|          172 | 173P/Mueller (Mueller 5)                                     | Mueller                                                                                     |                    13.63 |                                                                                                                                        |
|          173 | 174P/Echeclus = minor planet 60558 Echeclus                  | Spacewatch                                                                                  |                    35.02 |                                                                                                                                        |
|          174 | 175P/Hergenrother                                            | Hergenrother                                                                                |                     6.34 |                                                                                                                                        |
|          175 | 176P/LINEAR = minor planet 118401 LINEAR                     | LINEAR                                                                                      |                     5.71 |                                                                                                                                        |
|          176 | 177P/Barnard (Barnard 2)                                     | Barnard                                                                                     |                   119.67 |                                                                                                                                        |
|          177 | 178P/Hug–Bell                                                | Hug & Bell                                                                                  |                     7.06 |                                                                                                                                        |
|          178 | 179P/Jedicke                                                 | Jedicke                                                                                     |                    14.31 |                                                                                                                                        |
|          179 | 180P/NEAT                                                    | NEAT                                                                                        |                     7.54 |                                                                                                                                        |
|          180 | 181P/Shoemaker–Levy (Shoemaker–Levy 6)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                     7.53 |                                                                                                                                        |
|          181 | 182P/LONEOS                                                  | LONEOS                                                                                      |                     5.02 |                                                                                                                                        |
|          182 | 183P/Korlevic–Juric                                          | Korlevic & Juric                                                                            |                     9.58 |                                                                                                                                        |
|          183 | 184P/Lovas (Lovas 2)                                         | Lovas                                                                                       |                     6.62 |                                                                                                                                        |
|          184 | 185P/Petriew                                                 | Petriew                                                                                     |                     5.47 |                                                                                                                                        |
|          185 | 186P/Garradd                                                 | Garradd                                                                                     |                    10.62 |                                                                                                                                        |
|          186 | 187P/LINEAR                                                  | LINEAR                                                                                      |                     9.4  |                                                                                                                                        |
|          187 | 188P/LINEAR–Mueller                                          | LINEAR & Mueller                                                                            |                     9.13 |                                                                                                                                        |
|          188 | 189P/NEAT                                                    | NEAT                                                                                        |                     4.99 |                                                                                                                                        |
|          189 | 190P/Mueller                                                 | Mueller                                                                                     |                     8.74 |                                                                                                                                        |
|          190 | 191P/McNaught                                                | McNaught                                                                                    |                     6.64 |                                                                                                                                        |
|          191 | 192P/Shoemaker–Levy (Shoemaker–Levy 1)                       | C. Shoemaker E. Shoemaker & Levy                                                            |                    17.29 |                                                                                                                                        |
|          192 | 193P/LINEAR–NEAT                                             | LINEAR & NEAT                                                                               |                     6.56 |                                                                                                                                        |
|          193 | 194P/LINEAR                                                  | LINEAR [1]                                                                                  |                     8    |                                                                                                                                        |
|          194 | 195P/Hill                                                    | Hill                                                                                        |                    16.49 |                                                                                                                                        |
|          195 | 196P/Tichý                                                   | Tichý IAUC 8917                                                                             |                     7.36 |                                                                                                                                        |
|          196 | 197P/LINEAR                                                  | LINEAR IAUC 8924                                                                            |                     4.85 |                                                                                                                                        |
|          197 | 198P/ODAS                                                    | OCA-DLR Asteroid Survey (ODAS)[2] IAUC 8929                                                 |                     6.78 |                                                                                                                                        |
|          198 | 199P/Shoemaker (Shoemaker 4)                                 | C. Shoemaker & E. Shoemaker CBET 1347                                                       |                    14.53 |                                                                                                                                        |
|          199 | 200P/Larsen                                                  | Larsen                                                                                      |                    10.92 |                                                                                                                                        |
|          200 | 201P/LONEOS                                                  | LONEOS [3]                                                                                  |                     6.47 |                                                                                                                                        |
|          201 | 202P/Scotti                                                  | Scotti [4]                                                                                  |                     7.32 |                                                                                                                                        |
|          202 | 203P/Korlevic                                                | Korlevic IAUC 8974                                                                          |                    10.01 |                                                                                                                                        |
|          203 | 204P/LINEAR–NEAT                                             | LINEAR & NEAT IAUC 8974                                                                     |                     7    |                                                                                                                                        |
|          204 | 205P/Giacobini                                               | Giacobini (previously thought lost and designated D/1896 R2) IAUC 8975                      |                     6.66 |                                                                                                                                        |
|          205 | 206P/Barnard–Boattini                                        | Barnard & Boattini [previously thought lost and designated D/1892 T1 (Barnard 3)] IAUC 8995 |                     5.81 |                                                                                                                                        |
|          206 | 207P/NEAT                                                    | NEAT IAUC 8996                                                                              |                     7.63 |                                                                                                                                        |
|          207 | 208P/McMillan                                                | McMillan IAUC 8997 IAUC 9000                                                                |                     8.16 |                                                                                                                                        |
|          208 | 209P/LINEAR                                                  | LINEAR IAUC 9002                                                                            |                     5.04 |                                                                                                                                        |
|          209 | 210P/Christensen                                             | Christensen IAUC 9005                                                                       |                     5.71 |                                                                                                                                        |
|          210 | 211P/Hill                                                    | Hill (Catalina Sky Survey) IAUC 9001                                                        |                     6.71 |                                                                                                                                        |
|          211 | 212P/NEAT                                                    | NEAT IAUC 9010                                                                              |                     7.78 |                                                                                                                                        |
|          212 | 213P/Van Ness                                                | Van Ness IAUC 9017                                                                          |                     6.34 |                                                                                                                                        |
